"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-01","2017","01","01","","5.0","","1.4","","3.2","","14.8","","0.0","","","M","","M","","M","","","36","","70",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-02","2017","01","02","","2.0","","-0.6","","0.7","","17.3","","0.0","","","M","","M","","M","","","3","","37",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-03","2017","01","03","","1.6","","-2.4","","-0.4","","18.4","","0.0","","","M","","M","","M","","","7","","44",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-04","2017","01","04","","3.5","","-2.2","","0.7","","17.3","","0.0","","","M","","M","","M","","","8","","52",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-05","2017","01","05","","2.3","","-1.8","","0.3","","17.7","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-06","2017","01","06","","2.8","","-0.2","","1.3","","16.7","","0.0","","","M","","M","","M","","","10","","41",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-07","2017","01","07","","2.8","","0.1","","1.5","","16.5","","0.0","","","M","","M","","M","","","12","","33",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-08","2017","01","08","","3.5","","1.8","","2.7","","15.3","","0.0","","","M","","M","","M","","","9","","35",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-09","2017","01","09","","6.3","","1.9","","4.1","","13.9","","0.0","","","M","","M","","M","","","22","","74",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-10","2017","01","10","","3.6","","-0.7","","1.5","","16.5","","0.0","","","M","","M","","M","","","11","","35",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-11","2017","01","11","","2.8","","-1.0","","0.9","","17.1","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-12","2017","01","12","","3.0","","-2.7","","0.2","","17.8","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-13","2017","01","13","","2.5","","-2.0","","0.3","","17.7","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-14","2017","01","14","","3.3","","-1.2","","1.1","","16.9","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-15","2017","01","15","","6.5","","0.8","","3.7","","14.3","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-16","2017","01","16","","5.5","","2.1","","3.8","","14.2","","0.0","","","M","","M","","M","","","8","","33",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-17","2017","01","17","","9.3","","4.1","","6.7","","11.3","","0.0","","","M","","M","","M","","","15","","57",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-18","2017","01","18","","10.1","","6.3","","8.2","","9.8","","0.0","","","M","","M","","M","","","14","","56",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-19","2017","01","19","","7.8","","5.9","","6.9","","11.1","","0.0","","","M","","M","","M","","","14","","44",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-20","2017","01","20","","7.1","","3.2","","5.2","","12.8","","0.0","","","M","","M","","M","","","8","","32",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-21","2017","01","21","","9.4","","4.6","","7.0","","11.0","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-22","2017","01","22","","7.0","","4.3","","5.7","","12.3","","0.0","","","M","","M","","M","","","15","","43",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-23","2017","01","23","","6.9","","3.9","","5.4","","12.6","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-24","2017","01","24","","4.7","","2.9","","3.8","","14.2","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-25","2017","01","25","","5.2","","3.6","","4.4","","13.6","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-26","2017","01","26","","6.3","","4.0","","5.2","","12.8","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-27","2017","01","27","","7.7","","3.8","","5.8","","12.2","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-28","2017","01","28","","7.2","","4.3","","5.8","","12.2","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-29","2017","01","29","","9.1","","4.8","","7.0","","11.0","","0.0","","","M","","M","","M","","","17","","52",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-30","2017","01","30","","7.6","","5.0","","6.3","","11.7","","0.0","","","M","","M","","M","","","29","","46",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-01-31","2017","01","31","","6.0","","2.7","","4.4","","13.6","","0.0","","","M","","M","","M","","","31","","52",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-02-01","2017","02","01","","5.6","","1.2","","3.4","","14.6","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2017-02-02","2017","02","02","","5.2","","2.2","","3.7","","14.3","","0.0","","","M","","M","","M","","","10","","33",""
