PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,Date,Year,DOY
112.81543,10.71312,-17.32191,-29.542921,15.320936,24.955767,2010-05-01,2010,121
128.474,2.9435852,-7.793327,-34.320065,11.767437,27.194744,2010-05-02,2010,122
144.05643,10.053186,0.095715664,-31.569702,13.465805,24.284197,2010-05-03,2010,123
136.43369,-3.0357845,-16.51387,-36.239956,16.166777,27.998014,2010-05-04,2010,124
103.209946,-8.392771,-40.97938,-17.952642,25.917027,15.307159,2010-05-05,2010,125
99.06387,4.0078773,-34.402374,-6.8162155,25.394604,9.555514,2010-05-06,2010,126
80.30298,15.131966,-42.09518,3.0630894,22.10161,6.5732546,2010-05-07,2010,127
53.021477,2.4989834,-50.357414,-10.632938,2.4728842,4.488154,2010-05-08,2010,128
39.342308,-13.280883,-49.26229,-12.629849,-14.421416,3.1285186,2010-05-09,2010,129
57.97874,-6.6595783,-34.731365,10.850837,-14.718242,9.734253,2010-05-10,2010,130
58.75869,-8.41053,-32.289585,1.854789,-13.852419,7.173591,2010-05-11,2010,131
57.811184,4.1844573,-31.37082,-2.8595967,-5.2039657,-3.2211637,2010-05-12,2010,132
61.27944,12.472693,-23.140314,-2.1304545,-8.504682,1.6179246,2010-05-13,2010,133
51.356274,21.251741,-23.883589,-5.1490407,-15.086033,-4.053828,2010-05-14,2010,134
51.042095,29.224915,-16.868925,-1.458026,-23.30609,1.2312287,2010-05-15,2010,135
54.291805,34.412743,-14.390389,5.33824,-24.600042,4.5514097,2010-05-16,2010,136
26.946777,36.494995,-15.843679,-4.671082,-27.854578,-2.9236197,2010-05-17,2010,137
36.286537,38.821693,-11.264333,-5.2839746,-19.769728,1.0063103,2010-05-18,2010,138
87.44332,37.815746,-9.4783745,4.9359074,1.2724597,6.231542,2010-05-19,2010,139
143.72574,33.66602,9.639925,-4.503054,4.650204,20.418776,2010-05-20,2010,140
116.26689,41.24047,-18.658144,2.9780061,15.716884,17.342846,2010-05-21,2010,141
60.291306,43.15547,-33.618515,-8.862897,11.184177,-4.504063,2010-05-22,2010,142
25.533869,31.06293,-11.999556,-35.748146,6.62628,-0.8347068,2010-05-23,2010,143
44.41499,39.23574,-13.607775,-7.2624383,14.266202,-3.5070608,2010-05-24,2010,144
64.27616,50.774002,-20.754618,8.022077,17.762444,-7.050947,2010-05-25,2010,145
34.87345,54.66191,-28.159283,-1.5013304,19.34007,-18.11776,2010-05-26,2010,146
3.9289174,51.522057,-9.342534,-32.428425,14.459946,-24.365665,2010-05-27,2010,147
31.72978,15.944227,4.1548233,-37.93357,8.897354,9.109523,2010-05-28,2010,148
10.080817,-2.8806052,-14.186006,-25.28903,7.927069,14.417671,2010-05-29,2010,149
19.73799,2.9990513,-20.37272,-12.971261,4.9461846,8.257111,2010-05-30,2010,150
32.583126,15.791705,-28.92085,-2.6653569,11.485927,1.0152205,2010-05-31,2010,151
25.324474,24.565437,-31.46709,3.828163,9.029879,-4.6157436,2010-06-01,2010,152
64.889244,32.41183,-16.855469,15.054875,9.503904,5.582139,2010-06-02,2010,153
62.972862,43.498077,-9.332539,24.004988,-0.4799552,14.476107,2010-06-03,2010,154
14.823229,50.147854,-28.46844,22.17064,20.049839,9.997067,2010-06-04,2010,155
-31.706274,47.812706,-16.729673,2.5786543,18.584492,10.34798,2010-06-05,2010,156
-61.565796,31.739,-12.100838,-16.595991,14.061926,7.3363876,2010-06-06,2010,157
-73.72344,14.912284,-0.82816184,-33.073772,16.73124,4.7289495,2010-06-07,2010,158
-73.369095,-9.995895,-4.2248716,-39.285244,10.492112,10.068543,2010-06-08,2010,159
-55.231926,-32.053238,3.367921,-30.590542,8.8987665,8.573682,2010-06-09,2010,160
-33.79962,-17.23921,3.0718238,-7.829042,14.592057,0.10693491,2010-06-10,2010,161
-18.582344,-19.225475,-11.068081,-9.158458,-0.55197173,-4.4788513,2010-06-11,2010,162
-33.940414,-16.049948,-19.773386,2.707165,-8.355864,-6.7731624,2010-06-12,2010,163
-22.9668,-0.66805434,-15.992472,9.781006,-25.37756,-8.84226,2010-06-13,2010,164
30.97271,-10.96705,3.2351072,-16.547855,-14.286486,-1.7542591,2010-06-14,2010,165
36.33464,-22.12308,-4.546142,-16.978107,3.7809207,-4.791886,2010-06-15,2010,166
33.342293,-19.928192,-22.785105,2.9578373,5.885002,-3.3769581,2010-06-16,2010,167
21.574299,-5.231944,-23.64232,14.82061,-9.718745,4.823105,2010-06-17,2010,168
4.4139376,6.731981,-23.15851,23.614735,-18.187727,12.7418,2010-06-18,2010,169
-15.390369,2.0119991,-15.07319,9.823907,-32.6802,24.884966,2010-06-19,2010,170
-36.639927,10.165577,-9.99406,1.2559116,-17.871984,28.890076,2010-06-20,2010,171
-27.504923,33.389263,-2.7331772,7.3305273,17.57113,19.070494,2010-06-21,2010,172
