"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-01","2010","01","01","","9.3","","4.4","","6.9","","11.1","","0.0","","","M","","M","","M","","","15","","48",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-02","2010","01","02","","9.2","","5.9","","7.6","","10.4","","0.0","","","M","","M","","M","","","20","","39",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-03","2010","01","03","","7.1","","5.5","","6.3","","11.7","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-04","2010","01","04","","6.5","","5.5","","6.0","","12.0","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-05","2010","01","05","","7.2","","5.9","","6.6","","11.4","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-06","2010","01","06","","6.8","","3.8","","5.3","","12.7","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-07","2010","01","07","","5.0","","1.7","","3.4","","14.6","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-08","2010","01","08","","6.3","","4.0","","5.2","","12.8","","0.0","","","M","","M","","M","","","10","","41",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-09","2010","01","09","","10.7","","6.0","","8.4","","9.6","","0.0","","","M","","M","","M","","","12","","39",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-10","2010","01","10","","10.8","","5.9","","8.4","","9.6","","0.0","","","M","","M","","M","","","9","","44",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-11","2010","01","11","","13.2","","8.2","","10.7","","7.3","","0.0","","","M","","M","","M","","","15","","63",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-12","2010","01","12","","9.6","E","7.4","E","8.5","E","9.5","E","0.0","E","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-13","2010","01","13","","10.0","","7.0","","8.5","","9.5","","0.0","","","M","","M","","M","","","14","","35",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-14","2010","01","14","","9.9","","7.0","","8.5","","9.5","","0.0","","","M","","M","","M","","","20","","56",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-15","2010","01","15","","10.2","","6.8","","8.5","","9.5","","0.0","","","M","","M","","M","","","16","","65",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-16","2010","01","16","","7.4","","4.6","","6.0","","12.0","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-17","2010","01","17","","10.1","","5.3","","7.7","","10.3","","0.0","","","M","","M","","M","","","10","","43",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-18","2010","01","18","","11.3","","6.9","","9.1","","8.9","","0.0","","","M","","M","","M","","","15","","100",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-19","2010","01","19","","12.1","","6.6","","9.4","","8.6","","0.0","","","M","","M","","M","","","13","","61",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-20","2010","01","20","","11.9","","7.0","","9.5","","8.5","","0.0","","","M","","M","","M","","","10","","50",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-21","2010","01","21","","10.9","","7.2","","9.1","","8.9","","0.0","","","M","","M","","M","","","31","","33",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-22","2010","01","22","","9.5","","6.7","","8.1","","9.9","","0.0","","","M","","M","","M","","","31","","35",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-23","2010","01","23","","7.9","","4.8","","6.4","","11.6","","0.0","","","M","","M","","M","","","","","<31",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-24","2010","01","24","","8.4","","4.7","","6.6","","11.4","","0.0","","","M","","M","","M","","","9","","56",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-25","2010","01","25","","9.2","","5.7","","7.5","","10.5","","0.0","","","M","","M","","M","","","11","","46",""
"-123.30","49.11","SANDHEADS CS","1107010","2010-01-26","2010","01","26","","7.0","","4.8","","5.9","","12.1","","0.0","","","M","","M","","M","","","","","<31",""
